BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,Id
4,FLUSHING-NORTH,02 TWO FAMILY DWELLINGS                    ,1,6359,4, ,B1,13206 57 ROAD, ,11355,2,0,2,1285,1762,2002,1050000,57110
5,NEW DORP-BEACH,02 TWO FAMILY DWELLINGS                    ,1,4067,27, ,B3,64 HETT AVENUE, ,10306,2,0,2,5000,3450,1960,750000,80619
1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1582,46, ,D4,"510 EAST 86TH STREET, 5A", ,10028,0,0,0, -  , -  ,1958,1075000,14307
5,ELTINGVILLE,01 ONE FAMILY DWELLINGS                    ,1,5366,21, ,A2,30 LISS STREET, ,10312,1,0,1,4000,1056,1960,490000,77692
2,MOTT HAVEN/PORT MORRIS,27 FACTORIES                               ,4,2340,28, ,F4,2590 PARK AVENUE, ,10451,0,1,1,50400,48952,1958,11000000,21755
4,DOUGLASTON,09 COOPS - WALKUP APARTMENTS               ,2,8276,10, ,C6,"244-11 61ST AVENUE, 2G", ,11362,0,0,0, -  , -  ,1953,235000,54270
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1271,1901, ,R4,77 WEST 55TH   STREET,19A,10019,1,0,1, -  , -  ,1963,10,9544
1,MIDTOWN WEST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1008,1423, ,R4,150 WEST 56TH   STREET,6403,10019,1,0,1, -  , -  ,1987,10,9123
4,BRIARWOOD,10 COOPS - ELEVATOR APARTMENTS             ,2,9714,18, ,D4,"141-05 PERSHING CRESCENT, 214", ,11435,0,0,0, -  , -  ,1959,200000,52656
4,LAURELTON,02 TWO FAMILY DWELLINGS                    ,1,13069,15, ,B3,222-23 143RD AVENUE, ,11413,2,0,2,7150,1025,1930,825000,65777
3,BUSHWICK,02 TWO FAMILY DWELLINGS                    ,1,3155,109, ,B1,170 NOLL STREET, ,11237,2,0,2,1702,2039,2005,950000,31388
3,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS                    ,1,4813,32, ,B1,698 RUTLAND ROAD, ,11203,2,0,2,2000,1320,1910,935000,38882
3,BOROUGH PARK,03 THREE FAMILY DWELLINGS                  ,1,5624,56, ,C0,1455 47TH STREET, ,11219,3,0,3,2504,4225,1960,1200000,29513
3,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS                    ,1,8939,128, ,A1,53 FANE COURT, ,11229,1,0,1,1785,1377,1920,344500,39659
3,OCEAN PARKWAY-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,5424,1, ,D4,"715 OCEAN PARKWAY, 1O", ,11230,0,0,0,0,0,1954,255000,43608
2,BAYCHESTER,02 TWO FAMILY DWELLINGS                    ,1,5226,15, ,B1,3347 DE REIMER AVENUE, ,10475,2,0,2,2000,1800,1959,450000,18690
3,MANHATTAN BEACH,02 TWO FAMILY DWELLINGS                    ,1,8733,3, ,B2,153 AMHERST STREET, ,11235,2,0,2,4000,2292,1920,1500000,41725
3,FORT GREENE,10 COOPS - ELEVATOR APARTMENTS             ,2,2068,1, ,D4,"105 ASHLAND PLACE, 16A", ,11201,0,0,0,0,0,1957,430000,39512
4,FLUSHING-NORTH,10 COOPS - ELEVATOR APARTMENTS             ,2,4371,8, ,D4,"29-10 137TH   STREET, 1J", ,11354,0,0,0, -  , -  ,1960,154000,57402
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1220,1317, ,R4,110 WEST 90TH STREET,4C,10024,1,0,1, -  , -  ,1990,2199000,17144
3,SHEEPSHEAD BAY,10 COOPS - ELEVATOR APARTMENTS             ,2,7392,1, ,D4,"2232 BRIGHAM STREET, 6J", ,11229,0,0,0,0,0,1953,139000,46315
2,PARKCHESTER,13 CONDOS - ELEVATOR APARTMENTS            ,2,3929,2024, ,R4,1920 MCGRAW AVENUE,2H,10462,1,0,1,0,0,0,120000,21980
5,ROSEBANK,02 TWO FAMILY DWELLINGS                    ,1,3073,138, ,B2,91 WADSWORTH AVENUE, ,10305,2,0,2,5000,2440,1920,719999,82259
2,PELHAM PARKWAY NORTH,05 TAX CLASS 1 VACANT LAND                 ,1B,4455,47, ,V0,2437 ESPLANADE, ,10469,0,0,0,4396,0,0,400000,22546
3,WILLIAMSBURG-EAST,12 CONDOS - WALKUP APARTMENTS              ,2,3063,1010, ,R2,206 MONTROSE AVENUE,2A,11206,1,0,1,0,0,0,650000,48007
3,MADISON,01 ONE FAMILY DWELLINGS                    ,1,6792,66, ,A1,1621 EAST 29TH STREET, ,11229,1,0,1,5000,2040,1925,1200000,41267
3,BENSONHURST,01 ONE FAMILY DWELLINGS                    ,1,6192,57, ,A9,1675 73RD   STREET, ,11204,1,0,1,2000,1180,1925,858000,27934
2,BAYCHESTER,03 THREE FAMILY DWELLINGS                  ,1,4943,22, ,C0,3616 HARPER AVENUE, ,10466,3,0,3,4174,3232,1977,675000,18726
4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12366,19, ,A5,117-30 170TH STREET, ,11434,1,0,1,2300,1655,1945,450000,72033
1,UPPER WEST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1228,1203, ,R4,219 WEST 80TH,1C,10024,1,0,1, -  , -  ,1910,1450000,17325
1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1424,41, ,D4,"208 EAST 70 STREET, 2D", ,10021,0,0,0, -  , -  ,1970,452000,12278
4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9552,55, ,A1,107-47 114TH   STREET, ,11419,1,0,1,2502,1392,1930,400000,70154
4,BAYSIDE,10 COOPS - ELEVATOR APARTMENTS             ,2,5878,50, ,D4,"18-75 CORPORAL KENNEDY STR, 2H", ,11360,0,0,0, -  , -  ,1961,305000,51741
3,BAY RIDGE,01 ONE FAMILY DWELLINGS                    ,1,6107,95, ,A5,9319 HAMILTON WALK, ,11209,1,0,1,923,910,1925,324813,25762
4,CORONA,07 RENTALS - WALKUP APARTMENTS             ,2A,2004,41, ,C2,48-08 111TH   STREET, ,11368,6,0,6,2500,2400,1931,1250000,53869
3,DOWNTOWN-METROTECH,13 CONDOS - ELEVATOR APARTMENTS            ,2,133,1072, ,R4,306 GOLD STREET,8L,11201,1,0,1,0,0,0,695000,35768
5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,1,7888,32, ,A2,286 BRIGHTON STREET, ,10307,1,0,1,2500,630,1935,408000,83306
1,MURRAY HILL,10 COOPS - ELEVATOR APARTMENTS             ,2,917,17, ,D4,"225 EAST 36TH ST, 8H", ,10016,0,0,0, -  , -  ,1963,300000,10164
